Date,Bytes
2013-07-24,339499
2010-05-11,380092
2009-08-25,637725
2009-06-15,380342
2008-11-04,222095
2008-08-02,133459
2010-07-04,260574
2008-11-17,313947
2008-08-04,646065
2011-05-04,85618
2013-06-18,193785
2012-02-20,128253
2010-04-05,182830
2008-08-09,386779
2009-03-05,75738
2008-11-23,57898
2011-01-16,315195
2013-05-20,473168
2009-06-16,980172
2009-09-26,517590
2008-11-12,381899
2013-02-27,296395
2013-05-15,342434
2012-03-06,4873294
2009-01-08,398849
2010-03-14,272240
2009-04-08,274856
2010-05-08,793897
2008-09-13,223427
2013-04-03,314720
2011-07-27,289184
2012-10-30,299808
2013-01-22,354152
2009-06-19,217312
2013-05-26,1081859
2011-06-10,90471
2012-12-20,720973
2013-02-28,630053
2012-10-31,1149941
2009-03-12,238031
2009-06-29,644183
2008-10-08,415223
2011-06-27,913993
2009-08-21,166953
2009-07-21,1830616
2009-02-28,138499
2011-09-26,187524
2012-09-13,213594
2013-06-24,2113932
2013-07-23,515614
2013-03-07,359448
2013-05-20,2152003
2009-01-19,150747
2008-08-03,551668
2009-04-12,131465
2009-10-23,158488
2012-03-22,83959
2008-10-07,375094
2011-05-28,317261
2009-08-11,97164
2011-07-29,119039
2013-07-18,186463
2010-06-10,956820
2008-09-03,56704
2013-02-21,304968
2013-02-18,119685
2009-09-11,550526
2008-07-28,469756
2009-01-19,496088
2012-08-07,155788
2013-06-04,1273101
2009-01-04,1692172
2008-08-05,268627
2011-08-01,900350
2009-03-22,156641
2009-07-23,207742
2012-01-30,431095
2010-01-12,484876
2010-08-30,212076
2012-04-12,889488
2009-08-13,153524
2013-02-23,517558
2009-06-17,104158
2013-01-24,309042
2013-07-16,159255
2008-09-22,68017
2013-07-19,1066826
2009-08-11,1193422
2009-07-04,62374
2009-09-06,561468
2009-03-20,208334
2009-07-22,438937
2010-02-20,210518
2013-04-22,98729
2010-10-11,242583
2008-07-30,275862
2008-10-27,78446
2011-09-12,177991
2011-03-26,741846
2010-11-14,169155
2011-08-11,169404
2013-03-28,204889
2010-09-22,21942
2009-05-05,325462
2010-06-02,86310
2012-11-12,220227
2009-10-02,186924
2008-07-26,54921
2013-05-04,509196
2011-02-10,194903
2009-02-12,90919
2009-02-01,250967
2010-04-01,69353
2008-08-07,193197
2009-10-29,64767
2012-04-11,236860
2008-09-19,965007
2008-11-27,110140
2013-02-27,204389
2012-09-18,2497361
2009-11-26,210389
2012-07-31,436961
2009-08-19,2934034
2012-09-13,458745
2011-08-08,188461
2012-12-27,463406
