Date,BytesNoImages
2013-07-06,228441
2009-02-18,157977
2009-09-17,1181990
2010-09-07,972261
2013-02-13,279405
2009-05-05,52829
2010-08-27,115816
2011-02-07,114203
2010-01-13,213461
2010-04-16,301397
2013-02-27,332757
2012-08-03,144753
2009-05-04,256317
2008-12-15,332788
2009-10-11,902597
2008-08-06,147419
2012-06-19,156016
2012-10-17,2199810
2009-09-08,180635
2008-08-04,156362
2010-01-03,145455
2009-09-23,65194
2008-08-15,378574
2010-02-03,75219
2013-01-18,3406178
2013-03-13,909572
2012-08-22,120229
2013-01-02,382226
2013-02-20,1933234
2009-10-27,123966
2009-07-09,551951
2012-11-05,751757
2012-02-28,357922
2008-07-29,169353
2013-05-28,403217
2012-02-26,114807
2013-02-25,146953
2012-06-18,253820
2012-07-17,273712
2008-12-06,66020
2013-05-03,104290
2009-01-19,98886
2012-08-06,429528
2013-04-04,1840832
2009-08-23,137312
2009-07-10,1075790
2011-05-08,181083
2009-06-27,55617
2013-05-07,2336630
2010-05-12,221706
2010-05-28,138641
2013-04-15,490349
2010-03-31,68444
2010-03-23,2159779
2012-12-16,611989
2013-02-28,823638
2013-03-05,608236
2013-07-13,4884208
2008-08-04,249226
2008-11-04,124641
2013-01-23,1176571
2009-05-14,241179
2013-06-24,190790
2009-10-21,125096
2009-05-04,1505066
2008-11-06,498234
2009-10-01,131932
2012-12-22,821286
2009-04-27,492902
2011-07-03,125642
2008-10-24,240967
2012-06-14,563210
2009-05-31,1057052
2008-08-06,98553
2008-07-29,299177
2009-06-11,98581
2012-11-13,226949
2010-02-06,1023718
2010-01-16,194419
2012-03-17,1588371
2009-09-23,119028
2013-04-09,1283411
2008-10-15,2016060
2013-07-02,477130
2010-04-14,2119041
2013-01-05,722409
2012-09-10,372132
2013-07-24,1321141
2009-06-30,258111
2011-09-22,300965
2009-04-18,210514
2008-09-24,267978
2010-08-17,186630
2008-10-11,102317
2010-11-15,1370633
2009-10-03,134706
2008-12-14,154965
2009-09-27,52264
2008-09-18,211202
2009-01-26,80406
2013-06-15,687289
2012-06-30,255968
2008-09-11,188428
2013-05-10,146369
2009-04-22,232709
2012-01-06,161313
2011-10-04,2141265
2013-05-16,661748
2011-01-20,430067
2012-01-18,707261
2012-03-15,211210
2010-05-25,203018
2011-09-10,94654
2008-11-06,168380
2008-11-12,130641
2008-08-02,60388
2012-10-01,438770
2010-04-30,1670843
2008-09-18,53104
2012-08-24,1062436
2011-08-29,1019421
2009-06-30,143633
2008-09-10,165644
2009-08-23,102758
2009-02-26,621799
2011-06-05,409098
2011-06-05,501806
2009-05-18,600152
2009-06-23,408251
2012-12-07,450710
2012-12-07,373093
2012-12-07,290611
2009-02-02,63799
2010-08-26,249407
2009-06-15,283109
2011-01-23,1725692
2013-05-05,517333
2010-08-12,351720
2009-03-20,580002
2009-04-14,84392
2009-10-08,396866
2009-12-21,226751
2009-04-03,31085
2011-09-26,396918
2009-07-16,84739
2011-03-26,85770
2010-02-12,633328
2012-03-28,91677
2008-07-31,131248
2009-09-21,65635
2008-11-17,82072
2009-10-21,228331
2009-09-23,145111
2012-10-08,658333
2012-07-07,250404
2013-07-22,538882
2012-07-28,260986
2010-02-16,120156
2013-05-22,328539
2008-10-17,571273
2008-07-25,180537
